Blog	yet	week	real	heart	both	him	times	once	such	did	without	doesn	city	found	young	lot	name	track	bit	because	pretty	black	any	friends	everything	its	different	lost	why	play	high	came	red	until	three	white	enough	point	went	kind	tell	b	fun	hard	light	does	left	free	didn	set	head	sounds	bad	far	past	sometimes	put	each	together	maybe	might	dark	th	between	along	doing	early	said	thought	morning	blue	happy	pop	beautiful	used	least	quite	group	girl	sure	video	anything	change	four	single	played	summer	art	couple	john	coming	later	school	makes	give	late	record	face	though	style	ago	dance	probably	words	almost	yes	dead	sun	story	turn	wasn	fire	friend	run	fall	help	side	eyes	under	release	soul	perfect	stuff	start	room	listen	whole	remember	half	comes	hear	oh	heard	looking	records	radio	myself	favorite	actually	call	blog	getting	tracks	guitar	released	cover	line	won	already	having	playing	course	often	called	feeling	working	close	e	making	version	future	number	trying	took	someone	try	done	saw	break	hit	hand	list	sense	voice	isn	idea	la	bands	death	family	o	self	hope	shows	read	recorded	stop	felt	moment	dream	believe	cool	five	lyrics	finally	use	small	american	stay	stage	everyone	r	sort	country	st	rest	months	listening	taken	punk	anyone	deep	below	beat	must	return	experience	baby	yeah	moon	rather	sweet	during	street	project	open	true	seen	talk	either	watch	seems	gets	major	less	club	write	albums	front	artists	super	writing	become	party	across	picture	nice	gone	hours	david	anyway	classic	started	instead	note	age	fan	order	clear	wanted	check	singer	worth	musical	star	boy	bob	tour	cut	short	solo	machine	original	space	else	follow	recently	beach	hell	seem	decided	taking	knows	haven	yourself	title	miss	final	waiting	book	wrong	vocals	month	however	king	perhaps	sea	green	girls	behind	works	enjoy	god	talking	low	soon	reason	game	london	trip	hot	debut	easy	slow	wait	especially	mark	road	others	sing	ones	following	feels	special	amazing	case	local	seeing	matter	guys	previous	leave	move	history	mix	including	artist	mean	complete	couldn	singing	able	itself	guy	heavy	weekend	recent	cold	attention	reading	audience	blood	wish	several	drive	fact	bring	certainly	important	simple	wouldn	straight	alone	power	word	definitely	please	lead	needed	saying	turned	stars	bass	label	goes	link	near	com	rain	mostly	written	form	shit	themselves	minutes	studio	inside	guess	means	air	ready	based	simply	boys	although	given	outside	known	material	walk	sad	blues	indie	james	whatever	exactly	die	living	earlier	energy	york	kids	door	scene	l	born	lives	men	deal	interesting	n	electric	job	liked	town	mr	happen	forever	against	dreams	hold	etc	told	x	ride	piece	running	sleep	wild	minute	huge	wave	third	personal	wonder	u	entire	somewhere	december	himself	pink	sunday	spent	forward	due	example	gold	person	car	takes	hands	weeks	modern	mine	fans	watching	wall	knew	review	upon	paul	eventually	state	above	looks	longer	water	c	sky	west	places	thanks	non	fantastic	performance	needs	despite	g	opening	theme	de	ep	touch	moved	broken	national	ten	series	worked	brilliant
sweet crimson blood	0	1	1	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	3	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	0	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
I/LOVE/TOTAL/DESTRUCTION	1	2	3	3	8	10	2	5	2	7	3	0	4	6	6	7	11	4	2	12	3	3	6	4	1	7	3	2	2	8	1	6	11	2	5	6	2	7	4	2	3	7	3	4	3	0	3	2	11	25	3	7	3	9	2	2	2	0	2	0	5	1	22	5	4	0	18	6	9	0	3	1	5	1	5	2	1	2	1	3	0	4	3	9	5	15	1	4	6	13	2	8	5	2	4	4	8	3	20	3	4	6	4	2	4	0	2	0	0	2	5	4	4	0	6	1	6	2	4	8	2	2	2	1	5	7	2	5	3	1	4	2	8	3	17	11	2	0	1	1	0	1	4	13	12	4	8	0	6	5	4	4	3	5	3	1	4	7	4	3	0	1	0	5	2	1	1	1	0	1	2	13	2	2	1	2	2	6	3	0	3	1	1	3	5	17	2	0	2	0	3	0	0	1	3	3	4	0	2	4	0	6	5	1	6	4	3	4	4	20	0	0	1	2	1	2	1	1	0	2	3	0	7	5	2	1	0	1	2	2	0	1	0	2	4	6	5	2	2	5	2	0	3	3	1	0	3	4	4	3	3	2	6	4	0	1	1	1	0	4	1	2	1	4	3	1	3	8	5	3	0	7	3	4	6	3	3	4	2	0	0	1	2	0	2	1	0	2	0	2	0	4	3	1	3	7	0	1	1	0	1	0	1	5	1	0	0	2	9	3	0	9	0	0	0	0	7	4	2	4	0	11	0	0	0	0	3	3	3	0	0	3	1	2	1	2	0	0	5	3	5	4	2	0	0	0	2	0	0	0	4	1	1	4	1	2	1	2	4	2	5	0	0	1	0	1	1	3	2	2	3	0	7	12	2	3	2	0	0	0	3	0	0	7	3	2	1	2	1	2	1	2	3	8	1	0	2	2	2	2	1	2	1	2	1	0	13	1	5	1	2	0	5	3	3	0	0	1	2	1	5	3	0	8	3	2	0	1	0	0	0	4	2	1	0	3	1	0	1	0	1	5	0	1	0	4	2	0	6	1	8	0	2	1	2	1	1	2	1	1	0	2	1	2	0	2	1	4	0	2	2	2	3	0	0	0	0	6	0	5	4	1	2	0	7	0	0	4	1	0	2	6	0	1	0	0	3	2	0	3
In the Frame Film Reviews	5	2	39	42	17	10	29	13	25	26	9	18	16	17	6	39	9	21	11	45	33	14	41	14	64	32	26	15	33	20	16	44	1	11	44	18	41	21	21	8	26	1	7	43	14	26	26	11	39	10	57	44	47	17	7	12	14	21	31	14	66	17	1	19	17	2	6	58	21	3	3	7	1	4	11	11	15	2	0	40	22	21	12	15	21	34	6	2	16	5	7	1	5	21	16	22	1	6	5	48	10	23	23	10	42	5	36	17	21	5	25	34	11	14	43	6	22	13	4	18	3	26	1	25	19	23	23	29	19	7	54	83	15	9	1	5	34	42	10	19	2	15	17	40	13	0	38	15	13	14	22	26	24	2	26	2	18	1	9	30	5	14	19	27	24	13	13	8	11	10	1	24	8	2	13	5	0	31	7	13	0	3	31	10	6	3	2	5	4	8	5	4	32	52	12	11	2	0	2	1	29	0	8	1	0	21	3	9	4	2	12	10	3	6	7	8	5	2	28	37	3	1	6	0	9	6	20	14	14	5	12	8	19	8	4	1	17	25	1	1	1	10	3	10	2	3	18	7	5	8	2	2	13	4	7	3	13	15	1	6	5	2	8	2	1	16	2	5	28	4	1	0	9	27	6	2	1	18	27	4	13	5	4	10	17	6	6	32	38	1	10	32	1	20	17	9	15	2	0	4	9	4	45	28	7	11	17	4	3	5	2	4	19	13	4	3	3	8	9	3	5	3	26	1	0	4	0	6	9	0	3	10	16	3	32	4	2	16	7	7	4	1	5	5	1	5	2	21	3	16	10	5	10	3	26	5	7	7	11	17	7	4	27	1	2	9	10	2	4	7	7	22	14	1	18	2	3	1	2	2	5	2	58	2	17	9	16	28	7	22	13	1	11	0	10	2	7	0	1	13	13	0	1	1	2	15	27	8	3	3	4	5	4	4	1	3	60	2	4	3	1	1	12	1	6	2	3	1	3	0	3	0	13	11	14	0	4	2	1	3	9	3	6	2	13	0	6	6	0	3	1	0	5	1	2	3	2	6	14	15	10	4	2	9	6	5	3	25	13	1	3	6	3	12	4	16	27	2	9	21	19	13	0	3	14	7	2	0	25	8	1	1	4	8	4	0	6	36	3	17
ΜΕΣΑ ΣΤΗ ΒΡΩΜΙΑ	0	0	0	0	1	0	0	2	1	0	2	0	3	0	7	0	0	0	0	0	0	5	0	0	3	1	0	2	0	0	3	1	2	0	0	2	0	2	0	0	1	1	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	2	2	3	4	2	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	9	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	0	4	7	0	0	0	3	0	1	0	0	1	3	0	0	4	0	0	1	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	25	0	0	0	0	0	1	0	2	2	0	1	1	0	0	0	1	1	1	0	0	22	0	0	7	0	0	0	0	0	0	3	0	1	0	0	1	2	0	0	0	2	0	7	1	2	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	3	4	0	0	0	0	2	3	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0	1	0	0	0	0	0	1	0	0	1	0	21	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	3	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	1	3	0	0	0	0	1	0	21	0	0	0	0	0	0	0	0	0	1	1	3	1	1	1	0	0	0	0	0	0	0
F-Measure	4	4	1	5	7	9	2	3	3	14	1	7	5	5	2	5	3	5	2	8	11	6	6	22	2	8	6	1	6	1	6	6	3	4	3	0	9	2	2	2	2	6	2	3	0	4	8	0	5	3	0	5	6	1	2	0	0	3	4	3	3	3	0	4	0	2	7	5	1	1	1	2	2	2	2	3	6	1	8	6	13	3	5	4	14	5	2	0	2	2	1	9	4	1	4	2	1	2	7	5	7	0	7	3	2	2	7	5	5	2	5	0	3	2	2	3	11	1	0	4	3	2	4	2	1	2	2	8	1	5	0	1	12	0	1	6	0	5	3	3	2	5	1	3	8	5	1	6	1	4	1	4	2	0	0	0	1	2	2	8	1	0	4	1	0	4	0	0	5	4	1	4	0	0	3	2	0	4	2	0	1	0	0	0	1	5	0	2	0	3	2	2	7	7	4	1	2	4	2	1	2	0	0	5	2	2	3	1	1	7	2	0	0	1	0	6	3	0	0	1	1	2	1	0	0	0	0	0	4	5	0	3	3	3	2	0	4	0	0	3	4	0	0	2	0	2	1	3	0	5	0	4	2	7	2	3	5	0	0	1	3	0	1	0	1	1	1	2	0	1	2	3	4	3	1	0	2	11	2	2	1	0	1	3	1	9	0	6	1	1	1	3	1	1	0	3	0	1	4	0	3	2	1	1	3	1	0	1	1	1	0	5	0	1	0	3	3	4	1	1	0	1	0	0	1	2	2	0	0	2	2	0	0	7	2	3	4	1	1	1	0	5	2	1	5	6	1	0	1	1	4	0	2	1	0	1	1	1	0	0	1	0	1	1	0	0	1	3	0	1	3	8	1	5	1	3	0	0	10	4	1	0	0	0	0	7	1	0	1	2	0	2	3	6	12	1	0	4	2	0	0	0	1	3	0	2	0	0	2	1	0	1	0	0	0	1	0	0	0	2	2	0	0	1	1	0	0	1	1	1	0	1	0	1	0	0	2	1	9	1	0	2	1	0	4	0	2	0	0	1	3	2	3	2	0	2	0	0	5	1	0	1	4	1	0	0	0	1	14	0	0	2	1	6	1	0	0	0	1	1	0	1	2	0	2	0	4	1	0	5	1	5	2	1	0	2	2	0	0	0
Cherry Area	2	1	3	2	2	5	1	5	2	5	2	4	2	2	3	3	6	3	3	9	3	5	1	1	7	9	1	0	1	1	2	2	1	3	11	8	2	4	1	5	2	4	1	0	2	5	2	2	1	0	2	2	2	1	0	6	2	2	1	4	11	0	0	3	0	2	3	7	0	0	1	4	1	2	1	4	5	0	3	1	0	2	0	1	2	2	0	3	2	1	0	4	1	3	1	0	2	2	1	0	3	0	1	3	0	1	1	5	2	2	1	0	3	0	0	2	2	0	1	1	0	0	2	3	0	1	1	1	0	0	4	2	1	0	4	4	0	1	3	2	0	1	3	1	0	1	0	2	1	1	5	4	6	1	3	3	1	3	0	1	3	2	1	0	2	0	0	2	2	2	6	0	5	0	1	1	0	0	7	2	3	2	3	0	3	1	1	3	0	0	0	1	4	0	0	1	3	0	1	2	0	1	7	2	0	1	1	1	1	0	2	1	2	1	5	3	2	1	0	0	4	1	4	0	0	3	3	2	0	1	2	1	0	0	1	0	1	0	1	0	2	3	2	0	0	0	1	0	0	4	2	2	1	0	4	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	7	0	0	0	0	4	0	0	0	2	3	3	0	0	2	4	0	0	1	1	0	2	0	0	0	0	4	1	1	1	1	0	2	1	0	0	0	0	1	0	1	4	0	0	1	0	2	1	0	0	1	1	0	1	0	0	1	1	1	2	0	2	4	0	0	1	0	0	7	0	1	1	3	1	0	4	2	0	0	1	1	3	1	1	1	2	0	1	1	0	0	0	0	2	3	2	1	0	1	0	0	1	0	0	1	4	4	2	0	2	0	1	0	0	2	1	0	0	2	0	4	3	3	0	3	1	1	0	0	0	2	2	3	0	0	0	2	0	2	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	2	0	2	7	0	1	0	0	0	3	0	0	1	0	0	2	0	2	0	1	1	0	0	0	1	2	1	1	1	2	0	1	0	0	1	0	0	1	2	1	0	2	0	2	2	3	0	0	1	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2
Δίσκοι Μουσικής στο Χρόνο	0	2	4	6	0	1	18	0	0	0	2	0	7	0	3	0	17	0	0	0	5	39	0	0	2	0	0	7	0	0	0	1	11	0	0	8	0	3	0	1	1	4	2	0	12	0	1	3	0	1	4	1	18	0	3	0	0	1	0	0	0	6	6	4	0	0	1	0	0	3	11	2	6	3	0	0	0	3	5	0	0	1	1	4	0	0	2	8	0	34	1	0	1	2	1	1	3	2	0	64	0	7	0	3	0	18	20	14	4	1	0	7	2	2	6	2	0	7	1	0	4	2	0	0	2	0	0	0	1	0	0	1	0	0	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	1	0	6	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	8	0	43	18	39	0	0	0	0	0	1	0	0	11	1	0	2	0	0	1	2	4	1	23	1	9	0	4	6	0	0	0	0	1	0	2	0	2	1	1	2	7	2	18	0	6	0	4	1	1	2	0	2	0	1	0	2	0	0	162	0	0	1	14	1	0	1	1	0	0	1	3	1	20	0	0	0	0	1	2	0	1	2	1	0	1	0	0	3	7	4	1	2	0	0	2	0	5	0	0	0	5	3	0	0	1	0	1	4	0	2	0	0	3	0	1	0	0	13	0	8	3	7	1	2	0	6	2	4	0	0	1	2	2	2	0	2	2	0	0	8	8	2	3	1	0	1	2	0	0	5	0	0	0	0	1	0	2	0	0	1	2	1	0	0	0	0	0	2	1	0	2	0	0	0	7	1	0	2	0	0	0	0	3	1	1	1	6	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	1	0	0	2	1	0	1	3	1	0	0	6	0	0	0	0	1	2	3	14	0	20	1	0	3	3	0	0	3	1	4	1	3	2	1	11	0	0	5	6	0	0	3	0	0	1	5	5	0	0	0	3	1	0	0	2	5	1	0	4	1	0	3	2	0	0	0	0	4	0	0	0	0	0	2	1	0	0	4	0	1	0	0	0	2	0	0	0	9	0	3	0	1	1	1	4	7	1	3	0	0	1	0	0	0	36	0	0	8	1	2	0	9	1	0	0	0	1
the fast break of champions	6	1	5	3	2	10	1	1	4	8	4	8	0	1	1	6	2	1	5	16	4	0	4	0	1	8	10	0	3	3	0	1	1	2	1	6	2	4	0	4	2	0	4	2	2	3	1	2	4	1	1	8	8	6	2	7	8	2	0	3	3	2	1	4	2	5	0	1	3	2	1	3	0	7	5	4	7	0	0	0	5	0	2	1	3	0	0	0	1	0	1	1	0	0	3	0	0	2	4	3	0	0	3	1	1	2	3	0	2	3	1	0	0	1	1	2	1	2	1	0	1	1	8	2	0	10	7	2	1	3	2	3	3	1	0	0	3	2	8	2	3	4	0	1	0	10	0	2	2	1	1	2	4	1	0	1	2	0	1	1	1	0	1	1	2	1	1	1	2	2	2	1	0	2	2	2	0	7	2	0	4	0	1	5	0	1	2	2	1	0	0	2	0	5	0	1	0	0	1	2	0	2	2	1	2	3	0	5	0	1	0	3	0	0	3	0	0	2	5	1	1	1	1	0	2	0	1	3	0	3	4	1	0	1	0	0	1	1	0	1	2	0	1	0	0	0	3	1	1	0	7	0	1	1	0	1	5	2	2	0	3	0	0	6	1	0	1	0	0	1	4	1	2	0	0	0	1	0	1	1	1	0	1	3	1	2	4	1	0	0	0	1	0	1	1	2	2	0	0	1	1	0	3	2	0	0	3	0	1	0	0	0	1	0	1	0	3	0	1	0	3	2	1	2	6	1	0	0	3	6	0	0	0	4	0	0	0	3	0	3	2	1	2	1	0	0	0	1	1	0	4	1	0	1	0	1	1	1	0	3	2	3	0	0	5	0	0	0	1	2	0	0	0	0	0	0	0	1	0	3	0	1	3	1	2	1	0	3	2	1	0	0	4	1	2	1	1	1	0	0	4	4	1	0	1	2	6	0	1	0	0	0	0	1	0	1	1	2	0	0	1	0	1	0	1	1	2	4	1	1	1	0	0	0	0	0	0	1	0	0	2	0	0	2	0	4	1	1	0	2	6	0	0	1	0	1	0	0	1	0	0	1	0	1	5	0	1	2	0	2	0	3	0	1	2	0	1	0	2	0	0	0	0	0	0	2	0	1	1	0	0	0	3	1	0	0	0	0	0	1
Azul Valentina	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
The Moon Topples	2	1	0	1	2	0	3	1	2	1	2	0	1	1	0	2	2	0	3	1	0	0	1	3	0	0	3	0	1	0	0	1	0	1	2	1	0	0	2	0	2	0	3	1	2	1	0	0	0	3	0	1	0	0	1	2	0	0	0	0	1	0	0	2	0	2	2	1	1	5	0	0	0	1	1	3	0	0	0	0	0	1	0	0	0	1	1	0	3	0	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	3	3	0	0	7	1	0	0	0	0	0	0	1	0	0	0	2	1	0	2	0	0	0	0	0	0	0	1	1	2	0	1	1	2	0	0	1	0	2	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	2	1	0	1	0	1	0	4	0	0	1	0	0	1	0	0	0	2	0	0	2	0	0	0	1	1	0	3	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	2	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Encore	8	8	2	7	4	5	4	2	7	5	2	2	4	5	29	2	13	25	2	1	7	1	12	1	4	1	6	4	1	4	5	6	3	2	9	1	2	4	3	1	3	1	1	1	11	6	6	0	1	19	6	14	2	8	3	0	3	4	7	1	3	3	6	10	4	0	2	1	3	2	2	2	28	5	1	0	5	3	2	1	4	5	6	6	35	1	2	5	1	0	5	2	2	2	1	8	10	2	4	5	2	5	1	2	2	2	2	2	7	1	0	2	2	0	2	5	3	1	4	19	1	4	0	6	2	4	0	1	0	4	2	6	2	1	15	4	1	8	0	2	1	0	8	13	8	2	3	5	9	8	2	3	4	0	0	1	2	0	4	0	7	5	0	5	1	0	2	5	2	2	3	4	1	4	2	1	0	12	3	1	2	6	6	3	0	3	0	1	3	5	2	3	4	15	6	0	2	2	1	9	2	4	2	3	2	0	3	2	3	9	2	1	2	3	6	3	0	0	6	1	3	3	1	1	3	1	1	3	3	1	3	1	0	2	1	6	0	1	4	7	0	2	1	8	4	0	0	1	0	9	1	4	0	1	2	2	5	5	1	0	3	4	2	7	1	0	0	5	1	1	6	3	4	3	7	3	1	9	2	2	0	6	1	1	0	5	0	3	1	1	1	10	1	3	0	2	3	0	1	4	1	1	0	0	3	8	2	2	1	1	8	37	3	5	2	0	7	1	2	1	0	5	4	8	0	0	7	1	1	2	7	2	4	6	5	1	7	2	6	0	2	0	0	1	2	1	2	1	1	1	2	0	0	0	0	1	0	3	2	2	0	3	1	1	0	0	0	7	0	0	1	2	5	5	1	1	1	2	6	4	1	2	0	6	0	1	2	0	0	1	5	2	2	3	0	0	0	0	2	0	3	1	10	2	0	2	0	3	3	1	0	0	2	10	1	2	2	1	0	0	2	2	0	0	1	0	0	2	0	2	1	3	0	0	0	14	4	6	0	2	8	0	1	2	1	3	0	1	2	2	0	0	0	2	1	1	2	0	0	2	0	0	4	0	33	0	2	0	9	1	0	2	0	1	5	1	0	0	0	1	1	1	1	1	5	0	4	7	9	0	0	27	2	3	0	0	1	4	0	2
isyeli's	0	0	0	2	0	0	4	0	0	2	3	0	0	3	0	1	1	0	4	0	0	1	0	3	1	0	0	1	3	2	0	1	0	1	0	0	0	0	2	2	0	0	0	0	2	0	3	0	0	0	0	0	2	3	0	0	0	0	0	0	6	0	0	0	0	0	0	1	5	1	0	2	0	0	7	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	5	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	7	0	0	2	0	0	2	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	0	0	1	1	0	2	0	0	2	1	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	31	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	4	0	3	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
